,conv1,conv1_1,conv2,conv2_1,conv3,conv3_1,conv3_2,conv4,conv4_1,conv4_2,conv5,conv5_1,conv5_2,fc6,fc7,fc8a
34,-0.9729009173132895,-0.9559232342134141,-0.9325886046174052,-0.8921040401093387,-0.8195840846949782,-0.7961164909304607,-0.7812331258759706,-0.7412135314548922,-0.7286359680364833,-0.705779364023389,-0.652073414090973,-0.6315516550711793,-0.5230331497056866,-0.5136648018279718,-0.40447046390916724,-0.29797051597903174
35,-0.9452412496695218,-0.9257848337413306,-0.9118753961009745,-0.9085525831220618,-0.8476940425101495,-0.8055476144925207,-0.7972919974867285,-0.7563411477735174,-0.6878429556716675,-0.6816051054662879,-0.636301022820599,-0.5938721554355723,-0.5418725036359506,-0.47752953743253085,-0.3362155610078052,-0.41368659673820973
36,-0.9251252169559592,-0.9207566254113005,-0.9119381342677193,-0.9108304310103156,-0.8725135609801613,-0.830021518684096,-0.812700303420185,-0.794041606406799,-0.6985066012390861,-0.6869693506639218,-0.6509839195807879,-0.635616124558362,-0.6432989386888803,-0.6313797338687118,-0.5135479264801494,-0.22853878357717577
37,-0.9592457938206387,-0.942132963545186,-0.9395173217638355,-0.9196340301751947,-0.866773814292261,-0.8276783706436981,-0.786417949962481,-0.7433906167931604,-0.7253349795121272,-0.71290226127272,-0.6913404182383223,-0.6776496178894306,-0.6170704434031887,-0.5031565095803674,-0.5206585912220282,-0.6374194757711669
38,-0.9889757518701054,-0.9719519032944088,-0.9529729189907599,-0.9097227983742393,-0.8327892224411304,-0.7989073368693669,-0.768482254606594,-0.6729620387964494,-0.6629041243312737,-0.6310677401365089,-0.5527544144009943,-0.5238911488398572,-0.47444783879129804,-0.5796046734885459,-0.6121471794960143,-0.6440688436631087
39,-0.9051335419107029,-0.9197849620842622,-0.9166255616398317,-0.8970933698006087,-0.8145769796479336,-0.7657512057535464,-0.7453516477330853,-0.7183743828821862,-0.6529618294468759,-0.6397576063245394,-0.5774783894071653,-0.5665292476751227,-0.5032552161228931,-0.45191126737219683,-0.4707299049495501,-0.4822653358581962
40,-0.9210939110329756,-0.9191770292659808,-0.9178110658456816,-0.92423896504983,-0.8961914252409842,-0.87046482447053,-0.8592491213607285,-0.846819766456574,-0.8054552514378948,-0.7954560510365338,-0.7848888832291299,-0.7631266824448735,-0.7754911997365068,-0.6966623132490894,-0.7047811591309764,-0.8330331193435149
41,-0.9647779560686324,-0.9400310537048373,-0.9180035984587149,-0.8944821621373407,-0.8260454215982204,-0.7947687053208057,-0.7800885669269977,-0.7728108763972024,-0.7397533821109594,-0.69276200284378,-0.6972766748100432,-0.6425994251540754,-0.5256813211605176,-0.5451459558269774,-0.47175886179973237,-0.5273902592606323
42,-0.9463763461808989,-0.9261651306741264,-0.9238066798778418,-0.9247401400829386,-0.8828026205949433,-0.8492337551190083,-0.8285785064621582,-0.7926044805221456,-0.7581090901072438,-0.7420629351446091,-0.7543510740934907,-0.7522245259593843,-0.7396422566486813,-0.5669418202279495,-0.41727232028934214,-0.6074067199940663
43,-0.9375073787113306,-0.9226765263547297,-0.90976873983467,-0.9039979820111398,-0.8479956147232014,-0.8091741045690097,-0.7983102871774252,-0.7552136860491285,-0.7086628420747264,-0.7055886690470343,-0.6680630547504365,-0.644853268905311,-0.5876161681185221,-0.4513483296045653,-0.3095729933413633,-0.4967537947372403
44,-0.9560101733626487,-0.9478623638493896,-0.9482886022370628,-0.9473592436108893,-0.90942094728225,-0.8625406454634191,-0.8223060504440275,-0.8058563237062122,-0.7510881890813013,-0.705478912802278,-0.7433415372243626,-0.6837675458539776,-0.5245724054475218,-0.48877492534151323,-0.4773650300468016,-0.8044574992374688
45,-0.9522759945318576,-0.9356815794968465,-0.9414142351454247,-0.9445002103769174,-0.9061240415419437,-0.8697239432224091,-0.8322367688761346,-0.7676006779455995,-0.7022302551838856,-0.671214311538746,-0.6695664015551597,-0.6632201719191464,-0.5964186085287128,-0.6401770361771317,-0.5544837363726203,-0.644869777665745
46,-0.9281188928554687,-0.9084585234533062,-0.8851936066073806,-0.8704059716424761,-0.8270016475864134,-0.8052346930915206,-0.7916430487702317,-0.7857876666734451,-0.7504338950227034,-0.7640656984559807,-0.7743816458139037,-0.788780242027943,-0.8081983703269893,-0.7723014971344352,-0.8340822197438724,-0.940944347237231
47,-0.9423640064210965,-0.9128904855636989,-0.8995023239536972,-0.8952881908475993,-0.8552966565173885,-0.8294461021276074,-0.8116299822473877,-0.8146810522780565,-0.754022548376774,-0.7169367330111589,-0.7387251905619822,-0.6971283472842307,-0.6632060750409017,-0.5029142203081258,-0.36465852084638145,-0.24634269214382684
48,-0.9729006099123814,-0.9539421147202322,-0.9440547496159127,-0.9245480357933221,-0.8747158212194293,-0.8495608206056914,-0.8208800891316312,-0.7714833655416229,-0.7386387060717656,-0.7235774510413917,-0.6347953761694898,-0.6034607348980184,-0.407538519327179,-0.6312543758540652,-0.6009988389457185,-0.6244019884386577
49,-0.9407631419868681,-0.9401246972136339,-0.9364506518398958,-0.9090278360715451,-0.8328131651626036,-0.7882155465558105,-0.7543452358751217,-0.7197028469213356,-0.6746357987545055,-0.670171395582859,-0.5660575725456953,-0.5149651426207915,-0.34809345869918173,-0.36969236192406413,-0.32991906236628343,-0.28463370073696437
50,-0.9246375197996624,-0.9348860850704489,-0.9401588032363548,-0.9388879411043308,-0.8969045084777121,-0.8566928520396258,-0.8308138813426094,-0.786019313519485,-0.725891363202539,-0.7043814299540672,-0.6744285314013442,-0.6233900055773736,-0.5058834584048368,-0.5031915208941018,-0.47564919229349967,-0.5752645513633092
51,-0.9397641909583596,-0.9147603717824192,-0.8959700255615313,-0.8869916640856813,-0.8225343340501984,-0.7853009902988293,-0.7628191563936555,-0.7442308381268375,-0.6923014248431698,-0.6734531151033938,-0.7158196731246347,-0.6747775854827198,-0.6191171112817058,-0.519216927216656,-0.41679007219177033,-0.4066337112877332
52,-0.9386466917821431,-0.950807894910018,-0.948286274484211,-0.9136020760057686,-0.8346025955106019,-0.7966359576812284,-0.7578730376264056,-0.7195472961450925,-0.6947716803582848,-0.6533473384283587,-0.5896211603646082,-0.5660109842032844,-0.4434023911633377,-0.5578493394209084,-0.5275196202744409,-0.5446777961718254
53,-0.980398246312558,-0.9597324963153291,-0.9346546730451866,-0.8841886974517881,-0.7997900545708133,-0.7639390406517348,-0.7210782234685796,-0.6572481511570926,-0.6568041204108566,-0.6316559000439803,-0.5496449928647468,-0.5344250277144473,-0.43348035232453264,-0.46048222498198016,-0.30934239951131837,-0.14809737068429574
54,-0.9228071189148324,-0.915514723653341,-0.9082129577334028,-0.9124789290991223,-0.8735806933410988,-0.8328146691211881,-0.8245698963994229,-0.8120246407099587,-0.7434177044043784,-0.7120122929211934,-0.7204505744094556,-0.6890993866217899,-0.6621028296473874,-0.6169984394429583,-0.5359696757034926,-0.512185963475719
55,-0.925717058789835,-0.9208844551260895,-0.9365174225211654,-0.9494499269395131,-0.9271290613919692,-0.8864143507196169,-0.8349764121359773,-0.8064792022381475,-0.6841465709695107,-0.6237064744694222,-0.5965364674991367,-0.5380743175440559,-0.49420274107824347,-0.49516165560410924,-0.45137419909226584,-0.21121459898841993
56,-0.9489690683030778,-0.9368175904289697,-0.9325848029696502,-0.9208305138712323,-0.8523664513150386,-0.8094570204372648,-0.7827869289507907,-0.7029458768012884,-0.6318914537472521,-0.6132018057605811,-0.5974319556729979,-0.5401629995541006,-0.4339018303699196,-0.38892699079070703,-0.27156144309203273,-0.3614342147519594
57,-0.9589090962880527,-0.9403283474472237,-0.9331835926407246,-0.9302308132948471,-0.871531648764259,-0.8206730783720404,-0.8013991485589498,-0.7513049364984971,-0.6858519179727711,-0.6597272068580133,-0.6223988548595616,-0.6077461243491261,-0.4983432763590675,-0.48090005685443815,-0.3730155945291195,-0.3238772354081034
58,-0.9583485576349494,-0.936736663514643,-0.9237443127198914,-0.9121196762717871,-0.8579737515864114,-0.8341164309228468,-0.8121014615030571,-0.7736077479587693,-0.7239649709351861,-0.6837208171143184,-0.6808180057745306,-0.6536804768082625,-0.5789099136071882,-0.4264318962181693,-0.2838664107628194,-0.3644146454204178
59,-0.960107527616729,-0.9401024938660341,-0.9154788019782857,-0.8822061069650888,-0.8031798960873567,-0.770389895954718,-0.7550205152506133,-0.7165325330163006,-0.6909341175540167,-0.683477447788687,-0.6311357629727884,-0.6391064475494848,-0.5631052225501597,-0.45388644251691035,-0.3953845294892703,-0.39990737759760964
60,-0.9257714289494139,-0.9084516501069291,-0.9252088117570243,-0.941360131791569,-0.9206449971908601,-0.878964442153343,-0.8240777650165438,-0.7890109311514133,-0.7222328125487367,-0.6826672059187482,-0.6458393980944663,-0.6321452683974479,-0.6186090519422054,-0.5216285180629485,-0.45017534652830504,-0.32305241342431945
61,-0.9506611353712058,-0.9347901636809675,-0.9190270437584734,-0.9039070562382696,-0.8459703169371162,-0.8172119627236464,-0.7822879821840716,-0.7877700499431168,-0.7670631565301759,-0.7396942378551044,-0.7553124970994951,-0.7356198680058323,-0.6237180024532165,-0.5881835522082849,-0.5337546875934492,-0.6963978993130813
